jobs,code,count,mean,std,min,25%,50%,75%,max,rel_std
"['Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary', 'Environmental Science Teachers, Postsecondary', 'Physics Teachers, Postsecondary', 'Chemistry Teachers, Postsecondary']",25-105,4.0,46.75,8.421203397773187,37.0,42.25,46.5,51.0,57.0,0.18013269300049597
"['Pipelayers', 'Pipe Fitters and Steamfitters', 'Plumbers']",47-215,3.0,73.33333333333333,13.503086067019396,60.0,66.5,73.0,80.0,87.0,0.18413299182299178
"['Adhesive Bonding Machine Operators and Tenders', 'Glass Blowers, Molders, Benders, and Finishers', 'Molding and Casting Workers', 'Paper Goods Machine Setters, Operators, and Tenders', 'Recycling and Reclamation Workers', 'Tire Builders', 'Helpers--Production Workers', 'Stone Cutters and Carvers, Manufacturing', 'Cooling and Freezing Equipment Operators and Tenders', 'Etchers and Engravers', 'Potters, Manufacturing', 'Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders']",51-919,12.0,54.166666666666664,10.061929449286765,32.0,48.25,55.5,61.0,70.0,0.18575869752529414
"['Laborers and Freight, Stock, and Material Movers, Hand', 'Packers and Packagers, Hand', 'Cleaners of Vehicles and Equipment', 'Machine Feeders and Offbearers']",53-706,4.0,60.5,11.445523142259598,47.0,53.0,62.5,70.0,70.0,0.18918220069850575
"['Biological Science Teachers, Postsecondary', 'Agricultural Sciences Teachers, Postsecondary', 'Forestry and Conservation Science Teachers, Postsecondary']",25-104,3.0,39.666666666666664,7.505553499465135,32.0,36.0,40.0,43.5,47.0,0.18921563444029754
"['Patient Representatives', 'Customer Service Representatives']",43-405,2.0,67.0,12.727922061357855,58.0,62.5,67.0,71.5,76.0,0.18996898599041576
"['Bioinformatics Technicians', 'Statistical Assistants']",43-911,2.0,52.0,9.899494936611665,45.0,48.5,52.0,55.5,59.0,0.1903749026271474
"['Public Address System and Other Announcers', 'Radio and Television Announcers']",27-301,2.0,62.5,12.020815280171307,54.0,58.25,62.5,66.75,71.0,0.1923330444827409
"['Real Estate Sales Agents', 'Real Estate Brokers']",41-902,2.0,62.5,12.020815280171307,54.0,58.25,62.5,66.75,71.0,0.1923330444827409
"['Postal Service Clerks', 'Postal Service Mail Sorters, Processors, and Processing Machine Operators', 'Postal Service Mail Carriers']",43-505,3.0,67.33333333333333,13.051181300301263,57.0,60.0,63.0,72.5,82.0,0.19382942525199898
"['Vocational Education Teachers, Postsecondary', 'Graduate Teaching Assistants', 'Recreation and Fitness Studies Teachers, Postsecondary', 'Home Economics Teachers, Postsecondary']",25-119,4.0,60.75,11.89887949906769,47.0,56.0,60.0,64.75,76.0,0.19586632920276031
"['Precious Metal Workers', 'Jewelers', 'Gem and Diamond Workers']",51-907,3.0,54.333333333333336,10.692676621563628,42.0,51.0,60.0,60.5,61.0,0.1967977292312324
"['Motorboat Mechanics and Service Technicians', 'Outdoor Power Equipment and Other Small Engine Mechanics', 'Motorcycle Mechanics']",49-305,3.0,53.333333333333336,10.503967504392488,43.0,48.0,53.0,58.5,64.0,0.19694939070735915
"['Pourers and Casters, Metal', 'Metal-Refining Furnace Operators and Tenders']",51-405,2.0,50.0,9.899494936611665,43.0,46.5,50.0,53.5,57.0,0.1979898987322333
