jobs,code,count,mean,std,min,25%,50%,75%,max,rel_std
"['Concierges', 'Baggage Porters and Bellhops']",39-60,2.0,71.5,9.192388155425117,65.0,68.25,71.5,74.75,78.0,0.12856486930664499
"['Gaming Managers', 'Construction Managers', 'Funeral Service Managers', 'Education Administrators, Postsecondary', 'Lodging Managers', 'Food Service Managers', 'Farm and Ranch Managers', 'Education Administrators, Preschool and Childcare Center/Program', 'Distance Learning Coordinators', 'Fitness and Wellness Coordinators', 'Aquacultural Managers', 'Architectural and Engineering Managers', 'Education Administrators, Elementary and Secondary School', 'Biofuels/Biodiesel Technology and Product Development Managers', 'Nursery and Greenhouse Managers']",11-90,15.0,56.46666666666667,12.58040804849615,38.0,48.0,52.0,64.5,78.0,0.222793530965103
"['First-Line Supervisors of Construction Trades and Extraction Workers', 'Solar Energy Installation Managers']",47-10,2.0,74.5,4.949747468305833,71.0,72.75,74.5,76.25,78.0,0.06643956333296419
"['First-Line Supervisors of Correctional Officers', 'Forest Fire Fighting and Prevention Supervisors', 'First-Line Supervisors of Police and Detectives', 'Municipal Fire Fighting and Prevention Supervisors']",33-10,4.0,74.25,2.753785273643051,71.0,72.5,74.5,76.25,77.0,0.03708801715344177
"['Bookkeeping, Accounting, and Auditing Clerks', 'Statement Clerks', 'Gaming Cage Workers', 'Tellers', 'Bill and Account Collectors', 'Billing, Cost, and Rate Clerks', 'Procurement Clerks', 'Payroll and Timekeeping Clerks']",43-30,8.0,56.0,16.24807680927192,37.0,44.75,48.5,73.0,77.0,0.2901442287369986
"['Helpers--Carpenters', 'Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters', 'Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons', 'Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters', 'Helpers--Electricians', 'Helpers--Roofers']",47-30,6.0,66.66666666666667,5.680375574437545,61.0,63.0,66.5,67.0,77.0,0.08520563361656318
"['Water and Wastewater Treatment Plant and System Operators', 'Power Plant Operators', 'Power Distributors and Dispatchers', 'Chemical Plant and System Operators', 'Biofuels Processing Technicians', 'Nuclear Power Reactor Operators', 'Hydroelectric Plant Technicians', 'Stationary Engineers and Boiler Operators', 'Gas Plant Operators', 'Petroleum Pump System Operators, Refinery Operators, and Gaugers', 'Biomass Plant Technicians']",51-80,11.0,60.90909090909091,9.637993001185936,49.0,52.5,60.0,67.5,77.0,0.15823570598961986
"['Demonstrators and Product Promoters', 'Door-To-Door Sales Workers, News and Street Vendors, and Related Workers', 'Real Estate Brokers', 'Telemarketers', 'Sales Engineers', 'Real Estate Sales Agents', 'Models']",41-90,7.0,62.285714285714285,13.536546651125434,36.0,59.0,67.0,69.0,77.0,0.21732987742632578
"['Forestry and Conservation Science Teachers, Postsecondary', 'Engineering Teachers, Postsecondary', 'Sociology Teachers, Postsecondary', 'Economics Teachers, Postsecondary', 'Mathematical Science Teachers, Postsecondary', 'Library Science Teachers, Postsecondary', 'Area, Ethnic, and Cultural Studies Teachers, Postsecondary', 'Political Science Teachers, Postsecondary', 'Geography Teachers, Postsecondary', 'Biological Science Teachers, Postsecondary', 'Education Teachers, Postsecondary', 'Agricultural Sciences Teachers, Postsecondary', 'Psychology Teachers, Postsecondary', 'Chemistry Teachers, Postsecondary', 'Physics Teachers, Postsecondary', 'Nursing Instructors and Teachers, Postsecondary', 'Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary', 'Health Specialties Teachers, Postsecondary', 'Computer Science Teachers, Postsecondary', 'Anthropology and Archeology Teachers, Postsecondary', 'Business Teachers, Postsecondary', 'Environmental Science Teachers, Postsecondary', 'Architecture Teachers, Postsecondary']",25-10,23.0,47.47826086956522,10.062845997292088,32.0,42.0,46.0,51.0,76.0,0.21194639005285534
"['Pesticide Handlers, Sprayers, and Applicators, Vegetation', 'Tree Trimmers and Pruners', 'Landscaping and Groundskeeping Workers']",37-30,3.0,54.666666666666664,23.797758998135375,29.0,44.0,59.0,67.5,76.0,0.4353248597219886
